id,title,theme,genre,scene_type,location,time,emotion,emotion_intensity,characters,summary,blocking_count,lighting_cue_count,sound_cue_count
natok_001,সাইবার বুলিং - ছোট নাটক 001,সাইবার বুলিং,social_drama,confrontation,বাসস্ট্যান্ড,সকাল,দ্বিধা,0.7,সোহান | নাবিল,বাসস্ট্যান্ড-এ সাইবার বুলিং নিয়ে সোহান ও নাবিল-এর মধ্যে সংক্ষিপ্ত দ্বন্দ্ব তৈরি হয় এবং শেষে তারা সমাধানের দিকে এগোয়।,2,2,2
natok_002,ভুয়া খবর - ছোট নাটক 002,ভুয়া খবর,family_drama,confrontation,বাসস্ট্যান্ড,বিকেল,উদ্বেগ,0.7,নীরা | সামি,বাসস্ট্যান্ড-এ ভুয়া খবর নিয়ে নীরা ও সামি-এর মধ্যে সংক্ষিপ্ত দ্বন্দ্ব তৈরি হয় এবং শেষে তারা সমাধানের দিকে এগোয়।,2,2,2
natok_003,পরীক্ষার চাপ - ছোট নাটক 003,পরীক্ষার চাপ,student_life,confrontation,শ্রেণিকক্ষ,বিকেল,দ্বিধা,0.79,মৌ | তিথি,শ্রেণিকক্ষ-এ পরীক্ষার চাপ নিয়ে মৌ ও তিথি-এর মধ্যে সংক্ষিপ্ত দ্বন্দ্ব তৈরি হয় এবং শেষে তারা সমাধানের দিকে এগোয়।,2,2,2
natok_004,মোবাইল আসক্তি - ছোট নাটক 004,মোবাইল আসক্তি,awareness,decision,পার্ক,রাত,উদ্বেগ,0.76,লাবণ্য | সোহান,পার্ক-এ মোবাইল আসক্তি নিয়ে লাবণ্য ও সোহান-এর মধ্যে সংক্ষিপ্ত দ্বন্দ্ব তৈরি হয় এবং শেষে তারা সমাধানের দিকে এগোয়।,2,2,2
natok_005,বন্ধুত্বের পরীক্ষা - ছোট নাটক 005,বন্ধুত্বের পরীক্ষা,emotional_drama,decision,বাসস্ট্যান্ড,সন্ধ্যা,আশা,0.72,সামি | তিথি,বাসস্ট্যান্ড-এ বন্ধুত্বের পরীক্ষা নিয়ে সামি ও তিথি-এর মধ্যে সংক্ষিপ্ত দ্বন্দ্ব তৈরি হয় এবং শেষে তারা সমাধানের দিকে এগোয়।,2,2,2
natok_006,পারিবারিক ভুল বোঝাবুঝি - ছোট নাটক 006,পারিবারিক ভুল বোঝাবুঝি,social_drama,decision,বসার ঘর,সকাল,দ্বিধা,0.67,তানভীর | সামি,বসার ঘর-এ পারিবারিক ভুল বোঝাবুঝি নিয়ে তানভীর ও সামি-এর মধ্যে সংক্ষিপ্ত দ্বন্দ্ব তৈরি হয় এবং শেষে তারা সমাধানের দিকে এগোয়।,2,2,2
natok_007,অনলাইন প্রতারণা - ছোট নাটক 007,অনলাইন প্রতারণা,family_drama,revelation,পার্ক,রাত,দ্বিধা,0.74,শীলা | তিথি,পার্ক-এ অনলাইন প্রতারণা নিয়ে শীলা ও তিথি-এর মধ্যে সংক্ষিপ্ত দ্বন্দ্ব তৈরি হয় এবং শেষে তারা সমাধানের দিকে এগোয়।,2,2,2
natok_008,নারীর শিক্ষা - ছোট নাটক 008,নারীর শিক্ষা,student_life,revelation,শ্রেণিকক্ষ,সকাল,দ্বিধা,0.84,নাবিল | লাবণ্য,শ্রেণিকক্ষ-এ নারীর শিক্ষা নিয়ে নাবিল ও লাবণ্য-এর মধ্যে সংক্ষিপ্ত দ্বন্দ্ব তৈরি হয় এবং শেষে তারা সমাধানের দিকে এগোয়।,2,2,2
natok_009,সততার মূল্য - ছোট নাটক 009,সততার মূল্য,awareness,reconciliation,শ্রেণিকক্ষ,রাত,দ্বিধা,0.69,সুমাইয়া | রাহাত,শ্রেণিকক্ষ-এ সততার মূল্য নিয়ে সুমাইয়া ও রাহাত-এর মধ্যে সংক্ষিপ্ত দ্বন্দ্ব তৈরি হয় এবং শেষে তারা সমাধানের দিকে এগোয়।,2,2,2
natok_010,পরিবেশ দূষণ - ছোট নাটক 010,পরিবেশ দূষণ,emotional_drama,confrontation,বাসস্ট্যান্ড,সকাল,আশা,0.6,তিথি | জয়া,বাসস্ট্যান্ড-এ পরিবেশ দূষণ নিয়ে তিথি ও জয়া-এর মধ্যে সংক্ষিপ্ত দ্বন্দ্ব তৈরি হয় এবং শেষে তারা সমাধানের দিকে এগোয়।,2,2,2
