,count,mean,std,min,25%,50%,75%,max
character_count,500.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0
dialogue_count,500.0,6.0,0.0,6.0,6.0,6.0,6.0,6.0
dialogue_chars,500.0,231.51,12.82664983118287,197.0,222.0,232.0,240.0,263.0
dialogue_words,500.0,42.776,2.336823804008758,38.0,41.0,43.0,44.25,49.0
stage_direction_count,500.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0
blocking_count,500.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0
lighting_count,500.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0
sound_count,500.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0
summary_chars,500.0,115.432,5.836909715770848,102.0,111.0,114.0,119.0,134.0
emotion_intensity,500.0,0.71426,0.10271686282113386,0.55,0.63,0.705,0.8,0.9
