dialogue,frequency
আমরা ভুল থেকে শিখলে তবেই পরিবর্তন আসে।,142
এবার কাজ দিয়ে প্রমাণ করো।,122
"সত্য বলা কঠিন, কিন্তু সেখান থেকেই নতুন শুরু হয়।",120
সমস্যার মুখোমুখি হওয়াটাই প্রথম সাহস।,116
এভাবে পালিয়ে গেলে সমাধান হবে না।,111
আজ তোমাকে খুব অদ্ভুত লাগছে।,111
"আমি ভুল করেছি, কিন্তু ইচ্ছে করে না।",107
কালই সবার সামনে সত্যটা বলব।,106
"ঠিক আছে, আমি সব খুলে বলব।",104
এখন কথা বলার মতো অবস্থায় নেই।,103
আমি বিষয়টা ঠিক করার চেষ্টা করব।,103
চুপ থাকলে সমস্যাটা আরও বড় হবে।,102
ভুল করলে স্বীকার করাই ভালো।,102
তুমি পাশে থাকলে আমি সাহস পাব।,100
"তুমি যা ভাবছ, ঘটনা তেমন না।",99
